Date,Time,State/UnionTerritory,Confirmed,Cured,Deaths
16-05-2020,7:07 PM,Andhra Pradesh,0.0434639687351619,0.0858794384805945,0.0279017857142857
15-04-2020,5:00 PM,Telangana,0.0118156251141385,0.0070779756989501,0.0100446428571428
12-05-2020,7:19 AM,Lakshadweep,0.0,0.0,0.0
21-04-2020,5:00 PM,Himachal Pradesh,0.000712224697761,0.0009437300931933,0.0005580357142857
18-04-2020,5:00 PM,Haryana,0.0041089886409291,0.0025362746254571,0.0016741071428571
13-04-2020,5:00 PM,Goa,0.0001278352021622,0.0002949156541229,0.0
21-05-2020,9:03 PM,Jammu and Kashmir,0.0264618868475839,0.0403444614840155,0.0111607142857142
11-05-2020,7:19 AM,Daman and Diu,0.0,0.0,0.0
08-05-2020,8:00 AM,Meghalaya,0.0002191460608495,0.0005898313082458,0.0005580357142857
21-04-2020,5:00 PM,Punjab,0.0044742320756784,0.0023003421021587,0.0089285714285714
10-05-2020,10:24 PM,Andaman and Nicobar Islands,0.0006026516673362,0.0019464433172112,0.0
12-05-2020,11:03 PM,Assam,0.001187041162935,0.0023593252329833,0.0011160714285714
18-05-2020,7:10 PM,Jammu and Kashmir,0.0235399393695898,0.0359207266721717,0.0083705357142857
10-05-2020,7:12 PM,Jammu and Kashmir,0.0157237298659556,0.0225905391058157,0.0050223214285714
23-03-2020,6:00 PM,Karnataka,0.0006026516673362,0.0001179662616491,0.0005580357142857
29-04-2020,5:00 PM,Chandigarh,0.0010226816172979,0.0010027132240179,0.0
25-05-2020,7:44 PM,Chandigarh,0.0048577376821651,0.0110298454641972,0.0022321428571428
11-05-2020,7:19 AM,Sikkim,0.0,0.0,0.0
30-04-2020,5:00 PM,Maharashtra,0.1810694327769458,0.0939601274035625,0.2410714285714285
21-05-2020,9:21 PM,Uttarakhand,0.0026662770736696,0.0031261059337029,0.0005580357142857
13-05-2020,8:03 PM,Jammu and Kashmir,0.0177325687570765,0.0274861389642562,0.0055803571428571
26-03-2020,6:00 PM,Karnataka,0.0010044194455604,0.0001769493924737,0.0011160714285714
05-05-2020,5:00 PM,Karnataka,0.0120347711749881,0.0191105343871652,0.015625
